id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error
87299397,1450,"£1,450 pcm",monthly,Flat,1,1.0,"Choumert Road, Peckham, London, SE15","ZERO DEPOSIT AVAILABLE. LONG LET. Presented in excellent condition throughout, this wonderful one bedroom flat is set within a superb modern development offering ample living space, quality fixtures, separate kitchen/dining room and double bedroom.",https://www.rightmove.co.uk/properties/87299397#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87299397,"Foxtons, Peckham",66768,Added yesterday,2025-10-14T12:08:39Z,,SE15,2025-10-15T18:17:09.444251,"{'let available date': 'Ask agent', 'deposit': '£1,674A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",477.0,44.0,True,
87294006,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Poplar High Street, London, E14",Next Home Ltd are delighted to offer this charming 1 bedroom property located on the 2nd floor of this converted office block. ,https://www.rightmove.co.uk/properties/87294006#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87294006,"Next Home Ltd, Leyton",38072,Added yesterday,2025-10-14T11:03:42Z,,E14,2025-10-15T18:17:09.444254,"{'let available date': 'Now', 'deposit': '£1,500A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",,,True,
168080051,306,"£1,326 pcm",weekly,Apartment,1,1.0,"Atelier Court North, Leven Road, London, E14","Modern 1-bed apartment in Atelier Court, E14. Bright open-plan living/kitchen area, private balcony, stylish bathroom, lift access & secure entry. Moments from Langdon Park DLR & close to Canary Wharf. Ideal for professionals or couples. Book your viewing today!",https://www.rightmove.co.uk/properties/168080051#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168080051,"Sanctuary Housing, Sanctuary Housing",117370,Added on 13/10/2025,2025-10-13T17:11:21Z,,E14,2025-10-15T18:17:09.444257,"{'let available date': 'Now', 'deposit': '£1,836A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
168156167,1500,"£1,500 pcm",monthly,Apartment,1,1.0,"Berber Parade, Shooters Hill, London, SE18","Set within this popular modern development close to Hornfair Park and Woolwich Common, is this spacious one double bedroom apartment with a private balcony & off street parking. Offer furnished and available from 13th December 2025.",https://www.rightmove.co.uk/properties/168156167#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168156167,"Winkworth, Blackheath",14614,Added on 13/10/2025,2025-10-13T13:50:12Z,,SE18,2025-10-15T18:17:09.444261,"{'let available date': '13/12/2025', 'deposit': '£1,730A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
167311796,1400,"£1,400 pcm",monthly,Flat,1,1.0,"Taunton Road, London, SE12","Property Description Located on the desirable Taunton Road, this delightful one-bedroom garden flat offers a well-designed living space. The home includes a bright open-plan kitchen and dining area, a comfortable double",https://www.rightmove.co.uk/properties/167311796#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167311796,"S Stone Management, Croydon",286994,Reduced on 13/10/2025,2025-09-23T13:52:06Z,,SE12,2025-10-15T18:17:09.444266,"{'let available date': '07/11/2025', 'deposit': '£1,615A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",,,True,
168164504,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Archdale Road, East Dulwich, SE22","This one's for you if... You’re someone who thrives in the sunshine, coffee in hand, book in lap, feet up in your own private garden. Whether it’s morning rituals or golden hour wind-downs, outdoor space isn’t a nice-to-have, it’s a non-negotiable. I...",https://www.rightmove.co.uk/properties/168164504#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168164504,"Paramount, London - Lettings",62636,Added on 17/09/2025,2025-10-13T15:34:40Z,,SE22,2025-10-15T18:17:12.014626,"{'let available date': 'Now', 'deposit': '£1,730A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",382.0,35.0,True,
168018077,1400,"£1,400 pcm",monthly,Flat,1,1.0,"Baildon Street, London, SE8","Contemporary one bedroom flat within a unique development, well-located for all local amenities and transport links. Comprising of wooden flooring, gas central heating and double glazing. Also benefiting from a separate kitchen, modern shower suite, one double bedroom with built-in wardrobe and ...",https://www.rightmove.co.uk/properties/168018077#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168018077,"Keatons, Deptford",2915,Reduced on 13/10/2025,2025-10-09T10:20:03Z,,SE8,2025-10-15T18:17:12.014666,"{'let available date': 'Now', 'deposit': '£1,615A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",449.0,42.0,True,
168135293,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Kingswood Road, Brixton Hill, SW2",A spacious one bedroom flat with direct access onto a shared garden. This property would be perfect for professional couple or single occupant.,https://www.rightmove.co.uk/properties/168135293#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168135293,"Jacksons Estate Agents, Clapham",99865,Added on 13/10/2025,2025-10-13T08:59:10Z,,SW2,2025-10-15T18:17:12.014675,"{'let available date': 'Ask agent', 'deposit': '£1,730A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
168132680,1450,"£1,450 pcm",monthly,Flat,1,1.0,"Salehurst Road, London, SE4","A beautifully renovated basement flat with a double bedroom with walk-in wardrobe and outside space - includes bills! Key features: Utility bills, excludes internet at £1450/month Unfurnished... ** Property Reference: 2656593 **",https://www.rightmove.co.uk/properties/168132680#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168132680,"OpenRent, London",96668,Added on 13/10/2025,2025-10-13T00:08:23Z,,SE4,2025-10-15T18:17:12.014682,"{'let available date': '25/10/2025', 'deposit': '£1,673A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
168110753,1420,"£1,420 pcm",monthly,Flat,1,,"Tulse Hill, London, SW2",***ONE MONTH RENT FREE IF MOVE IN BY 31ST OCTOBER***AVAILABLE NOW***FURNISHED***GREAT LOCATION***,https://www.rightmove.co.uk/properties/168110753#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168110753,"HC-GB, South",238694,Added on 10/10/2025,2025-10-10T23:26:02Z,,SW2,2025-10-15T18:17:12.014690,"{'let available date': '17/10/2025', 'deposit': '£1,700A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
168110588,1466,"£1,466 pcm",monthly,Flat,1,,"Tulse Hill, London, SW2",***ONE MONTH FREE RENT IF MOVE IN BY 31ST OCTOBER***AVAILABLE NOW***UNFURNISHED***GREAT LOCATION***,https://www.rightmove.co.uk/properties/168110588#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168110588,"HC-GB, South",238694,Added on 10/10/2025,2025-10-10T22:44:44Z,,SW2,2025-10-15T18:17:12.014699,"{'let available date': '17/10/2025', 'deposit': '£1,800A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
168102146,1300,"£1,300 pcm",monthly,Flat,1,1.0,"Shooters Hill Road, London, SE3",Beautiful One Bedroom Flat on Shooters Hill Road. This unfurnished first floor flat has a lovely open plan kitchen/living area. It boast a good sized bedroom with en-suite bathroom. It is on the... ** Property Reference: 2653734 **,https://www.rightmove.co.uk/properties/168102146#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168102146,"OpenRent, London",96668,Added on 10/10/2025,2025-10-10T17:13:56Z,,SE3,2025-10-15T18:17:12.014706,"{'let available date': 'Now', 'deposit': '£1,500A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
168093854,1450,"£1,450 pcm",monthly,Apartment,1,1.0,"Norwood Road, Tulse Hill","Oaks Estate Agents are delighted to offer to the market this charming one-bedroom, first floor apartment, situated a stone’s throw from Tulse Hill station",https://www.rightmove.co.uk/properties/168093854#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168093854,"Oaks Estate Agents, Streatham Lettings",201446,Added on 10/10/2025,2025-10-10T15:53:06Z,,,2025-10-15T18:17:12.014712,"{'let available date': '17/10/2025', 'deposit': '£1,673A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
168072071,1400,"£1,400 pcm",monthly,Flat,1,1.0,"Large, Bright, Double Studio, near Gloucester Road, SW5","A large, bright double room with own bathroom, 5 minuet walk from Gloucester Road Tube station. Gas and electricity included. Ground floor studio,  with high ceilings, large Sainsbury's at end of the road.  ",https://www.rightmove.co.uk/properties/168072071#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168072071,"Bellman London Ltd, London",145976,Added on 10/10/2025,2025-10-10T11:14:42Z,,SW5,2025-10-15T18:17:12.014718,"{'let available date': 'Ask agent', 'deposit': 'Ask agentA deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",,,True,
168069146,1350,"£1,350 pcm",monthly,Apartment,1,1.0,"Lower Road, London SE16 2LW","Now on the market is this second floor, one bedroom flat, ideal for single occupancy. The entire building was completely new throughout approx 6 years ago. Modern and bright with a separate shower-room. Gas central heating and double-glazing. Offered as unfurnished available from 4th November 202...",https://www.rightmove.co.uk/properties/168069146#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168069146,"ENS Property Group Ltd, London",247784,Added on 10/10/2025,2025-10-10T10:32:16Z,,SE16,2025-10-15T18:17:12.014726,"{'let available date': '04/11/2025', 'deposit': '£1,557A deposit provides security for a landlord against damage, or unpaid rent by a tenant.Read moreaboutdepositin our glossary page.', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,
