id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,edinburgh_distance_km,edinburgh_drive_time_minutes,edinburgh_transit_time_minutes,glasgow_distance_km,glasgow_drive_time_minutes,glasgow_transit_time_minutes
166935401,1500,"£1,500 pcm",monthly,Detached,4,4.0,"Morris Road, Prestwick, South Ayrshire, KA9","Rarely available and presented in immaculate condition, this 4 bedroom, two public rooms, spacially extended detached bungalow is an excellent example of flexible accommodation, situated in the desirable town of Prestwick.",https://www.rightmove.co.uk/properties/166935401#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166935401,"Lomond, Prestwick",286766,Reduced on 29/09/2025,2025-09-12T15:15:55Z,,KA9,2025-10-17T01:45:23.471610,"{'let available date': 'Now', 'deposit': '£2,500', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,128.27,93.2,165.7,53.3,42.6,101.4
167542403,1595,"£1,595 pcm",monthly,Flat,2,1.0,"Raeburn Place, Stockbridge, Edinburgh","Beautifully presented two bedroom flat in the popular Stockbridge area of Edinburgh. A lovely fully furnished two double bedroom flat furnished tastefully. The accommodation is located on the second floor and comprises, a spacious living room with dining area and bay windows, two spacious doubl...",https://www.rightmove.co.uk/properties/167542403#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167542403,"Murray & Currie, Edinburgh",68784,Added on 29/09/2025,2025-09-29T09:33:37Z,,,2025-10-17T01:45:23.471615,"{'let available date': '24/10/2025', 'deposit': '£1,595', 'min. tenancy': '6 months', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,2.33,6.3,30.5,73.34,54.8,107.9
167488427,1800,"£1,800 pcm",monthly,Flat,3,2.0,"Kilgraston Court, Marchmont, Edinburgh, EH9","Bright and Spacious Three-Bedroom, furnished, Second (top) Floor Flat in the Heart of Marchmont Located in one of Edinburgh’s most desirable neighbourhoods, this beautifully presented top-floor flat offers generous living space and an abundance of natural light. The property comprises thre...",https://www.rightmove.co.uk/properties/167488427#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167488427,"Littlejohns ltd, Edinburgh",224552,Added on 26/09/2025,2025-09-26T15:47:49Z,,EH9,2025-10-17T01:45:24.200395,"{'let available date': '05/11/2025', 'deposit': '£2,000', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,3.88,9.0,22.2,78.39,55.2,121.2
166555079,1850,"£1,850 pcm",monthly,Flat,3,1.0,"Moat Place, Edinburgh, City of EH14","Reference: 32962158Spacious 3-Bedroom Flat – Slateford, EdinburghLight and generously sized second-floor flat with three double bedrooms, modern shower room, and a large open-plan kitchen/diner/living area. Ideal for families. Rent £1850, Deposit £1850, Landlord will furnish befor...",https://www.rightmove.co.uk/properties/166555079#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=166555079,"Sourced Living, Warrington",272150,Reduced on 26/09/2025,2025-09-03T17:30:02Z,,EH14,2025-10-17T01:45:24.200399,"{'let available date': 'Now', 'deposit': '£2,050', 'min. tenancy': '1 month', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,17.53,29.3,,70.21,56.8,
168270140,1900,"£1,900 pcm",monthly,Flat,2,2.0,"York Place, Edinburgh, EH1",Re-listed due to unmet references Stunning New Town Two- Double Bed Flat This is a lovingly restored and recently renovated centrally-located Georgian New Town flat.Renting a stylish two-bedroom... ** Property Reference: 2385091 **,https://www.rightmove.co.uk/properties/168270140#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168270140,"OpenRent, London",96668,Reduced on 25/09/2025,2025-10-16T16:28:58Z,,EH1,2025-10-17T01:45:24.200402,"{'let available date': 'Now', 'deposit': '£3,069', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,1.75,4.9,8.8,74.31,56.5,96.6
167411630,1795,"£1,795 pcm",monthly,Terraced,4,3.0,"Saw Mill Terrace, Bonnyrigg, Midlothian, EH19",Erskine Property are delighted to present to market this wonderful 4-bedroom unfurnished townhouse in the popular residential area of Bonnyrigg.,https://www.rightmove.co.uk/properties/167411630#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167411630,"Erskine Property, Edinburgh",295037,Added on 25/09/2025,2025-09-25T16:53:28Z,,EH19,2025-10-17T01:45:24.200404,"{'let available date': 'Now', 'deposit': '£1,995', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",1130.0,105.0,True,,14.67,22.4,43.7,84.25,57.2,113.5
144371084,1700,"£1,700 pcm",monthly,Semi-Detached,3,3.0,KY9,STUNNING 3 Bedroom furnished villa retaining character features throughout whilst having been tastefully upgraded. The property is located withing a private estate within in the SOUGHT AFTER village of Elie in the picturesque EAST NEUK of Fife. ,https://www.rightmove.co.uk/properties/144371084#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=144371084,"Fife Properties, Leven",85862,Added on 25/09/2025,2024-02-05T12:00:01Z,,KY9,2025-10-17T01:45:24.200407,"{'let available date': 'Ask agent', 'deposit': 'Ask agent', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,70.73,63.0,120.6,121.84,88.6,175.2
167428673,1800,"£1,800 pcm",monthly,Flat,3,1.0,"Gibson Street, Glasgow","***EMAIL ENQUIRIES ONLY PLEASE *** Well presented three bed FURNISHED ground floor flat with HMO licence in the heart of Glasgow`s west end close to numerous local shops, restaurants and other amenities including Glasgow University. Bright accommodation comprising a welcoming hallway, a spac...",https://www.rightmove.co.uk/properties/167428673#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167428673,"Maclay Property Ltd, Glasgow",183089,Added on 25/09/2025,2025-09-25T15:17:42Z,,,2025-10-17T01:45:24.200409,"{'let available date': 'Now', 'deposit': '£1,800', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,77.54,61.9,92.8,3.29,9.8,35.0
167425859,1550,"£1,550 pcm",monthly,Apartment,2,2.0,"Craw Yard Drive, Edinburgh, EH12","Beautifully presented ground floor two-bedroom, two bathroom furnished apartment in fantastic location. ",https://www.rightmove.co.uk/properties/167425859#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167425859,"Murray Properties, Kirkcaldy",94525,Added on 25/09/2025,2025-09-25T14:54:52Z,,EH12,2025-10-17T01:45:24.200411,"{'let available date': 'Ask agent', 'deposit': '£1,850', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",,,True,,11.01,17.2,28.3,65.13,45.0,76.2
167422184,1400,"£1,400 pcm",monthly,Flat,3,1.0,"Jedburgh Gardens, Flat 3-1, North Kelvinside , Glasgow, G20 6BP","UNFURNISHED / AVAILABLE NOW - Clyde Property are pleased to announce Jedburgh Gardens back to the rental market, this three-bedroom, preferred Top floor flat contained within an attractive red sandstone tenement building on Jedburgh Gardens. Internally the property comprises of reception hallwa...",https://www.rightmove.co.uk/properties/167422184#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167422184,"Clyde Property, Westend - Lettings",283052,Added on 25/09/2025,2025-09-25T13:58:46Z,,G20,2025-10-17T01:45:24.200413,"{'let available date': 'Now', 'deposit': '£2,800', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",,,True,,78.48,64.7,93.7,4.64,10.1,43.5
