id,price,price_display,frequency,property_type,bedrooms,bathrooms,address,summary,property_url,contact_url,branch,branch_id,added_or_reduced,first_visible_date,let_type,postcode,search_date,letting_details,property_size_sqft,property_size_sqm,scraping_success,scraping_error,coordinates,distance_to_center_km,price_score,location_score,size_score,overall_score
87315885,1500,"£1,500 pcm",monthly,Apartment,1,1.0,"Grove Place, Eltham, London, SE9",Modern spacious one bedroom apartment in newly constructed portered development in prime Eltham location ,https://www.rightmove.co.uk/properties/87315885#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87315885,"jdm, Greenwich",250727,Added yesterday,2025-10-14T15:49:51Z,,SE9,2025-10-15T18:49:28.011667,"{'let available date': '20/10/2025', 'deposit': '£1,730', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",673.0,63.0,True,,,,77.77777777777779,0.0,63.0,43.71
87294834,1350,"£1,350 pcm",monthly,Ground Flat,1,,Enterprise Court,"base rent: £1350, deposit: £1557.69, additional rent for pets: £50, number of bedrooms: 1, size: 386.4 sq ft, apartment type: ground floor, all pets allowed, heating type: gas, fully integrated kitchen, unfurnished, stove: induction, dishwasher, open pla…",https://www.rightmove.co.uk/properties/87294834#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=87294834,"Akelius Residential Ltd, London",102505,Added yesterday,2025-10-14T11:15:00Z,,,2025-10-15T18:49:30.583882,"{'let available date': '01/11/2025', 'deposit': '£1,557', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",386.0,36.0,True,,"(51.415171, -0.7652633)",45.50672721207369,81.11111111111111,8.986545575852617,36.0,43.24
168197408,1400,"£1,400 pcm",monthly,Apartment,1,1.0,"Dutton House, Abbey Wood","Situated on the fifth floor of Dutton House, this one bedroom apartment offers far-reaching views, a private balcony, and the added benefit of allocated parking. The layout includes a double bedroom, an open plan living and kitchen area, and a bathroom, making it a practical and comforta...",https://www.rightmove.co.uk/properties/168197408#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168197408,"Hunters, Abbeywood London",62489,Added today,2025-10-15T12:15:58Z,,,2025-10-15T18:49:25.586919,"{'let available date': 'Now', 'deposit': '£1,615', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",505.0,47.0,True,,,,80.0,0.0,47.0,41.4
168180629,1450,"£1,450 pcm",monthly,Flat,1,,"New Horizons Court, London, TW8",Quick Access to Central London & Heathrow - WIFI Included - Bright Interiors - Communal Courtyards - Pet Friendly - On-Site Parking - Modern Kitchens,https://www.rightmove.co.uk/properties/168180629#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168180629,"Vonder, Vonder",79578,Added yesterday,2025-10-14T01:56:33Z,,TW8,2025-10-15T18:49:33.363188,"{'let available date': 'Now', 'deposit': 'Ask agent', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Furnished or unfurnished, landlord is flexible', 'council tax': 'Ask agent'}",504.0,47.0,True,,,,78.88888888888889,0.0,47.0,40.96
168018077,1400,"£1,400 pcm",monthly,Flat,1,1.0,"Baildon Street, London, SE8","Contemporary one bedroom flat within a unique development, well-located for all local amenities and transport links. Comprising of wooden flooring, gas central heating and double glazing. Also benefiting from a separate kitchen, modern shower suite, one double bedroom with built-in wardrobe and ...",https://www.rightmove.co.uk/properties/168018077#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168018077,"Keatons, Deptford",2915,Reduced on 13/10/2025,2025-10-09T10:20:03Z,,SE8,2025-10-15T18:49:35.769206,"{'let available date': 'Now', 'deposit': '£1,615', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",449.0,42.0,True,,,,80.0,0.0,42.0,40.4
60747017,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Windermere Road, London, N19","A well-proportioned one double-bedroom apartment, situated on the lower ground floor of a development on Windermere Road. Benefiting from a separate lounge and kitchen, central gas heating, double glazing, and a communal garden. Close to Archway tube station. Available 2nd January 2026",https://www.rightmove.co.uk/properties/60747017#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=60747017,"CP Papas Property Centre, London",78719,Added today,2016-07-20T14:58:54Z,,N19,2025-10-15T18:49:25.586943,"{'let available date': '02/01/2026', 'deposit': 'Ask agent', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",474.0,44.0,True,,,,77.77777777777779,0.0,44.0,39.91
95816894,1450,"£1,450 pcm",monthly,Apartment,1,1.0,"Pullman Court, Streatham Hill, London, SW2","A one bedroom purpose built flat in a Grade II listed modernist block on Streatham Hill. The property benefits from having new secondary glazing, new electrical heaters and is ideally placed for easy access to Brixton, Balham, Clapham and Tulse Hill.",https://www.rightmove.co.uk/properties/95816894#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=95816894,"Winkworth, Streatham",34334,Added today,2020-08-07T22:10:43Z,,SW2,2025-10-15T18:49:25.586929,"{'let available date': '17/12/2025', 'deposit': '£0', 'min. tenancy': '12 months', 'let type': 'Long term', 'furnish type': 'Unfurnished', 'council tax': 'Ask agent'}",442.0,41.0,True,,,,78.88888888888889,0.0,41.0,39.76
168102197,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Dairyman Close, Cricklewood, NW2","This one's for you if... You’ve always wanted a home that feels open, bright, and easy to live in. Clean, neutral interiors keep things modern and fresh, while the layout flows in a way that makes working from home simple—whether that’s at your desk or out in the com...",https://www.rightmove.co.uk/properties/168102197#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168102197,"Paramount, London - Lettings",62636,Added on 10/10/2025,2025-10-10T17:14:29Z,,NW2,2025-10-15T18:49:38.504345,"{'let available date': '17/11/2025', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Part furnished', 'council tax': 'Ask agent'}",463.0,43.0,True,,,,77.77777777777779,0.0,43.0,39.71
167745617,1500,"£1,500 pcm",monthly,Flat,1,1.0,"Westgate House, Ealing, W5","We are pleased to present this modern studio apartment in the sought-after West Gate development in Ealing, W5. The apartment offers a bright open-plan living area, a contemporary fitted kitchen with integrated appliances, a comfortable double bedroom space, and a stylish b...",https://www.rightmove.co.uk/properties/167745617#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=167745617,"Holland Properties, London",36516,Reduced today,2025-10-03T09:19:51Z,,W5,2025-10-15T18:49:23.151621,"{'let available date': '12/11/2025', 'deposit': '£1,730', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Furnished', 'council tax': 'Ask agent'}",365.0,34.0,True,,,,77.77777777777779,0.0,34.0,37.91
168138026,1495,"£1,495 pcm",monthly,Flat,1,1.0,Flat 2 12 Argyle Road,"base rent: £1495, deposit: £1725, number of bedrooms: 1, size: 351 sq ft, apartment type: lower ground, , heating type: electric, furniture options available at additional costs, stove: induction, open plan kitchen, washer dryer, number of bathrooms: 1, …",https://www.rightmove.co.uk/properties/168138026#/?channel=RES_LET,/property-to-rent/contactBranch.html?propertyId=168138026,"Akelius Residential Ltd, London",102505,Added on 13/10/2025,2025-10-13T09:48:10Z,,,2025-10-15T18:49:35.769209,"{'let available date': '18/11/2025', 'deposit': '£1,725', 'min. tenancy': 'Ask agent', 'let type': 'Long term', 'furnish type': 'Ask agent', 'council tax': 'Ask agent'}",351.0,33.0,True,,,,77.88888888888889,0.0,33.0,37.76
